time,spd_kp_0.27_ki_0.0043_pwma,spd_kp_0.291_ki_0.00290_pwma,spd_kp_0.27_ki_0.0043_pwmb,spd_kp_0.291_ki_0.00290_pwmb,spd_kp_0.27_ki_0.0043_pitch,spd_kp_0.291_ki_0.00290_pitch,spd_kp_0.27_ki_0.0043_motor_a_speed,spd_kp_0.291_ki_0.00290_motor_a_speed,spd_kp_0.27_ki_0.0043_motor_b_speed,spd_kp_0.291_ki_0.00290_motor_b_speed,spd_kp_0.27_ki_0.0043_target_angle,spd_kp_0.291_ki_0.00290_target_angle,spd_kp_0.27_ki_0.0043_angle_error,spd_kp_0.291_ki_0.00290_angle_error
1.255,800,800,800,800,-3.59,-16.9494815184815,52,52,60,60,9.69,10.98,13.28,27.9294815184815
1.26,800,800,800,800,-3.59998001998002,-17.3292407612387,50.0039960039958,52,60,58.0039960039965,9.80976023976026,11.6287012987011,13.4097402597403,28.9579420599398
1.265,800,800,800,800,-3.49032967032967,-18.1375714305692,50,52,60,58,9.81,11.63,13.3003296703297,29.7675714305692
1.27,800,800,800,800,-3.49996003996004,-18.6380009980021,50,53.9920079920085,60,58,9.65063936063932,11.4208391608391,13.1505994005994,30.0588401588412
1.275,800,800,800,800,-3.36067146282974,-19.2527272531468,50,53.9216783216789,60,58,9.65,11.4270489510489,13.0106714628297,30.6797762041957
1.28,800,800,800,800,-3.36,-19.9043067108889,50,50,60,58,9.75936263736266,11.78,13.1193626373627,31.6843067108889
1.285,800,800,800,800,-3.23088311688311,-20.6726593230766,50,50.035164835164,60,58,9.76,11.771208791209,12.9908831168831,32.4438681142856
1.29,800,800,800,800,-3.22007792207792,-21.3926023966035,50,52,60,58,9.85922077922078,11.28,13.0792987012987,32.6726023966035
1.295,800,800,800,800,-2.96228571428566,-22.1496613532468,50,51.9688311688311,60,58,9.86,11.2856103896104,12.8222857142857,33.4352717428572
1.3,800,800,800,800,-2.90058741258741,-22.7684595404595,50,50,60,58,9.96892307692309,11.64,12.8695104895105,34.4084595404595
