I0,pitch,pitch_target,pwma,speed_b,speed_target,flag,e,ec,ec_raw
49.391998,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.396999,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.402000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.407001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.411999,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.417000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.422001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.426998,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.431999,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.437000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.442001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.446999,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.452000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.457001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.462002,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.466999,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.472000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.477001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.481998,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.487000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.492001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.497002,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.501999,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.507000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.512001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.516998,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.521999,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.527000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.532001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.536999,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.542000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.547001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.551998,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.556999,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.562000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.567001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.571999,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
