I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11
13.607000,0.000000,0.000000,-0.240000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,-0.030000
13.612000,0.000000,0.000000,-0.220000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,-0.040000
13.617000,0.000000,0.000000,-0.210000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,-0.030000
13.622000,0.000000,0.000000,-0.190000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,-0.040000
13.627000,0.000000,0.000000,-0.160000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,-0.050000
13.632000,0.000000,0.000000,-0.140000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,-0.050000
13.637000,0.000000,0.000000,-0.110000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,-0.040000
13.642000,0.000000,0.000000,-0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,-0.040000
13.647000,0.000000,0.000000,-0.080000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,-0.040000
13.652000,0.000000,0.000000,-0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,-0.030000
13.657000,0.000000,0.000000,-0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030000
13.662000,0.000000,0.000000,-0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.020000
13.667000,0.000000,0.000000,-0.030000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000
13.672000,0.000000,0.000000,-0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.020000
13.677000,0.000000,0.000000,-0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.020000
13.682000,0.000000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000
13.687000,0.000000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000
13.692000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000
13.697000,0.000000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.020000
13.702000,0.000000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.020000
13.707000,0.000000,0.000000,0.030000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.020000
13.712000,0.000000,0.000000,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000
13.717000,0.000000,0.000000,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000
13.722000,0.000000,0.000000,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.727000,0.000000,0.000000,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000
13.732000,0.000000,0.000000,0.030000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000
13.737000,0.000000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000
13.742000,0.000000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000
13.747000,0.000000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000
13.752000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000
13.757000,0.000000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000
13.762000,0.000000,0.000000,-0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000
13.767000,0.000000,0.000000,-0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000
13.772000,0.000000,0.000000,-0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.030000
13.777000,0.000000,0.000000,-0.070000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.040000
13.782000,0.000000,0.000000,-0.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.030000
13.787000,0.000000,0.000000,-0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.030000
13.792000,0.000000,0.000000,-0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.050000
13.797000,0.000000,0.000000,-0.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.040000
13.802000,0.000000,0.000000,-0.170000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.050000
13.807000,0.000000,0.000000,-0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.060000
13.812000,0.000000,0.000000,-0.240000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.080000
13.817000,0.000000,0.000000,-0.280000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.070000
13.822000,0.000000,0.000000,-0.310000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.060000
13.827000,0.000000,0.000000,-0.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.040000
13.832000,0.000000,0.000000,-0.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.050000
13.837000,0.000000,0.000000,-0.370000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.050000
13.842000,0.000000,0.000000,-0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.050000
13.847000,0.000000,0.000000,-0.420000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.040000
13.852000,0.000000,0.000000,-0.440000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.040000
13.857000,0.000000,0.000000,-0.460000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000,0.030000
13.862000,0.000000,0.000000,-0.470000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000,0.030000
13.867000,0.000000,0.000000,-0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000,0.030000
13.872000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000,0.030000
13.877000,0.000000,0.000000,-0.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000,0.020000
13.882000,0.000000,0.000000,-0.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000,0.010000
13.887000,0.000000,0.000000,-0.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000,0.060000
13.892000,0.000000,0.000000,-0.560000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060000,0.040000
13.897000,0.000000,0.000000,-0.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060000,0.020000
13.902000,0.000000,0.000000,-0.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000,-0.080000
13.907000,0.000000,0.000000,-0.490000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000,-0.090000
13.912000,0.000000,0.000000,-0.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000,-0.070000
13.917000,0.000000,0.000000,-0.410000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,-0.080000
13.922000,0.000000,0.000000,-0.360000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,-0.110000
13.927000,0.000000,0.000000,-0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,-0.120000
13.932000,0.000000,0.000000,-0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,-0.090000
13.937000,0.000000,0.000000,-0.210000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,-0.090000
13.942000,0.000000,0.000000,-0.160000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,-0.110000
13.947000,0.000000,0.000000,-0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,-0.110000
13.952000,0.000000,0.000000,-0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,-0.090000
13.957000,0.000000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000
13.962000,0.000000,0.000000,0.030000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.090000
13.967000,0.000000,0.000000,0.070000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,-0.080000
13.972000,0.000000,0.000000,0.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,-0.090000
13.977000,0.000000,0.000000,0.160000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.020000,-0.080000
13.982000,0.000000,0.000000,0.190000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.020000,-0.070000
13.987000,0.000000,0.000000,0.220000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.020000,-0.070000
13.992000,0.000000,0.000000,0.260000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030000,-0.070000
13.997000,0.000000,0.000000,0.280000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030000,-0.050000
14.002000,0.000000,0.000000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030000,-0.040000
14.007000,0.000000,0.000000,0.320000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030000,-0.040000
14.012000,0.000000,0.000000,0.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030000,-0.020000
14.017000,0.000000,0.000000,0.340000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030000,-0.010000
14.022000,0.000000,0.000000,0.340000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030000,0.000000
14.027000,0.000000,0.000000,0.340000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030000,0.000000
14.032000,0.000000,0.000000,0.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030000,0.010000
14.037000,0.000000,0.000000,0.310000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030000,0.030000
14.042000,0.000000,0.000000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030000,0.030000
14.047000,0.000000,0.000000,0.280000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030000,0.030000
14.052000,0.000000,0.000000,0.260000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030000,0.040000
