I0,I1,I2,I3,I4,I5,I6,I7,I8,I9
727.596985,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.940000,0.000000,0.000000
727.601990,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.606995,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.612000,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.617004,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.622009,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.627014,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.632019,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.637024,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.642029,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.646973,69.330002,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.651978,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.656982,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.661987,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.666992,69.330002,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.671997,69.330002,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.677002,69.330002,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.682007,69.330002,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.687012,69.330002,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.692017,69.330002,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.697021,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.702026,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.706970,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.711975,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.716980,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.721985,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.726990,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.731995,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.737000,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.742004,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.747009,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.752014,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.757019,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.762024,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.767029,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.771973,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.776978,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.781982,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.786987,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.791992,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.796997,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.802002,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.807007,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.812012,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.817017,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.940000,0.000000,0.000000
727.822021,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.940000,0.000000,0.000000
727.827026,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.940000,0.000000,0.000000
727.831970,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.940000,0.000000,0.000000
727.836975,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.940000,0.000000,0.000000
727.841980,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.940000,0.000000,0.000000
727.846985,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.851990,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.940000,0.000000,0.000000
727.856995,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.862000,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.010000,0.010000
727.867004,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
